14439000,119.24,14958000,318.76,6435500,168.5,9172200,283.25,5793000,971.65,3367200,406.8,4900,216.52,20279200,184.74,1249800,231.95,3055500,2337.5
4615000,112.93,10779800,333.34,12932000,162,3348400,290.75,9124400,967.65,4687200,406.02,26200,217.67,31904400,190.11,1486100,232.33,2406100,2372.81
13630100,114.73,8751600,323.51,6461300,164,3231700,289.75,6477400,969.43,6981000,407.25,6400,215.38,12396100,188.1,844400,239.14,8110500,2324.05
3197500,118.56,15594300,311.71,19371700,166.75,7053200,266.25,8223700,979.64,8573400,412,14900,218.81,23122600,187.87,917300,231.13,6586000,2309.75
5110400,118.33,13379500,311.38,8292100,166,13946000,268.5,13556800,1001.85,9593100,416.75,6800,215.95,16656400,186.08,1953900,230.48,3047800,2339.18
3989600,118.56,9930700,298.27,9164300,168.75,9220200,273.5,10576100,985.42,12612600,439,4700,215.95,20974500,184.74,1025300,227.13,3073300,2351.79
7362700,120.79,22661500,337.61,0,168.75,20860300,321,11407100,981.42,3477000,422.25,4300,224.54,21386800,183.62,1884900,227.78,2028800,2341.7
17806000,121.47,20688300,337.61,6581500,168,19487000,316.5,8122800,976.98,2041900,422.25,4700,227.4,12108400,180.93,1371600,231.67,4472200,2369.45
11125600,126.2,9559200,373.66,7627500,171,9234100,330.25,5453300,991.19,2320400,420.5,1200,233.7,26967800,182.05,1007200,232.11,3268800,2434.19
17770700,127.08,22188000,365.47,12993200,172,21928300,350,6838600,976.98,6498800,419.5,3400,237.71,29333000,179.59,3101800,234.05,5432500,2380.38
8667400,126.63,17959700,373.66,11719100,172.5,13216300,337,4238400,984.53,14860700,418,1800,239.43,18473100,185.86,1169600,236.87,4860900,2319
9602000,134.49,12932600,404.8,33463000,175,14138300,336,19807300,1008.07,15637400,400,10100,240.43,21842600,191.68,3254100,237.31,8263400,2260.14
7203400,135.16,12624100,389.39,23341500,178,16209400,324.5,4600600,1002.74,13199700,400,11800,231.99,18631400,191.23,1996800,240.44,5500000,2253.42
3993400,131.58,6558700,371.69,17192900,171.25,13826200,327,5573500,986.75,6937800,400,16900,231.99,19845600,191.23,1943600,243.8,3751200,2274.44
7715400,132.03,4672800,385.13,8605400,169.25,3014300,323,4418500,988.97,5535100,398,10500,234.85,11425200,191.46,2628100,245.53,3959100,2295.46
3035800,130.9,4325300,390.7,7207400,172,2624100,317.5,8012400,965.43,8496100,411,15900,237.14,9211900,184.96,689400,243.37,853600,2297.14
5028600,132.93,11277400,387.75,13420800,170,13581800,299.5,9825900,940.57,4573300,400,3600,233.13,35415100,184.52,2167100,237.73,3084000,2295.46
3285900,136.51,14883200,386.77,19687700,169,16101200,310,5201700,941.01,7111700,400,22600,237.71,27192500,187.2,2273500,235.57,2840300,2324.89
16223300,139.21,11220900,397.91,30126900,175,11065200,283.5,6547300,945.89,10100900,409.5,6100,242.29,25537000,188.1,2282300,230.37,4283600,2320.68
6760000,140.79,7613800,423.48,16914200,172.25,9572100,276.25,10852900,938.35,6765400,403,20100,242.29,21511600,184.07,1492500,223.01,1778400,2338.34
4165600,138.76,4888700,401.52,5481700,171.5,4624100,302,2985900,943.23,5051600,420,73600,243.44,14381300,184.07,2192900,229.51,4112300,2451.85
2874600,133.38,6187000,401.52,8499400,167,4753600,284.25,4332000,930.8,5581200,420,5500,242.29,13769800,182.05,2188400,229.95,4237900,2468.67
12044600,131.58,6632100,400.53,12260700,164,3882900,289,2915500,922.8,8675100,424.25,82800,247.45,49439400,182.95,4523400,225.18,3739700,2441.76
5166500,129.1,7161800,389.06,7466700,168,7404100,284,4885700,905.93,11469800,405.75,4600,247.45,21253400,185.41,3860300,220.85,2964200,2455.22
4013600,129.33,3454300,395.29,3646700,167.5,10504400,263.5,5397700,903.26,2884600,417.5,11000,240.58,14546400,186.53,2357900,219.98,2214200,2457.74
1596500,130.9,9443900,386.77,26288800,160,7730300,269,3742900,914.81,6120800,427,1518800,244.59,14749900,184.52,1793700,223.01,2239400,2435.88
5567400,130.68,6514500,377.26,18000200,158,12919400,270.5,3328600,937.9,11413000,427,13900,247.45,21694900,180.93,2355400,221.5,4089500,2488.85
1598900,129.78,11831300,384.8,12589000,159,11499700,261,5159000,961.88,5908000,430,8800,253.18,29864600,178.69,4322000,216.95,5452700,2560.32
1571600,129.33,9250800,366.45,10730200,154.5,7181300,269,7303800,982.31,6908000,433,446900,250.01,25223500,184.07,1718700,216.52,5178100,2593.95
6843700,130.45,5664000,342.85,22805400,162.75,10351400,264.25,6697600,966.32,3648500,418,51600,250.01,34087100,180.93,3329100,227.13,3499100,2606.56
4691100,139.21,4365900,366.77,21273300,166,9749700,280,4297300,959.22,2985400,412,6400,245.36,18086200,185.41,2444800,218.04,4072000,2593.95
6961200,136.51,15849600,381.85,18216500,163,16511700,274,10402800,911.26,5404500,421.25,6800,245.65,14576400,187.87,3168700,218.68,5446200,2623.38
868500,135.16,9656200,380.54,11311400,160.5,11243300,267,5547100,926.35,22128900,416.75,0,245.65,19775300,191.68,3288100,215.22,5083800,2629.27
3525000,133.38,5016100,390.05,10038400,161,3656600,266,3433100,923.69,10059200,425,0,240.71,10227000,190.11,3567300,212.19,2208800,2642.72
7923900,137.41,15953600,390.05,9635400,157,12170000,282.5,10133000,937.01,5418300,425,0,234.19,20503900,187.2,2846500,210.45,3486400,2652.81
6770400,136.51,18664500,409.06,24357600,164,5698600,277.25,11905900,895.27,14700100,425,351800,232.86,20415800,185.86,14198800,210.03,4784900,2673.83
2863000,136.51,8970100,411.35,47408400,167,10429300,267.5,18423100,915.7,16253200,421,0,238.38,14080200,184.52,6749200,220.85,4475100,2591.43
10728400,133.61,7229000,393.33,35207900,169,4095100,273.5,4716500,941.45,11524300,433.5,0,239.84,11719400,184.52,2505800,223.01,6954500,2538.46
4584200,133.61,10096800,394.31,29091800,171.5,13969600,296,4229800,936.12,6333300,440.75,0,238.38,19850900,187.43,2772900,217.82,8424900,2476.24
2053100,133.38,10666100,396.6,16976600,170,20446400,283,4206300,937.01,4461400,426,0,235.77,15329200,186.98,4787200,219.55,3954900,2484.64
3411300,132.93,6388100,412.99,12160700,171.5,12518900,281,6198700,954.78,6398300,422,0,236.93,19061900,189.67,4361800,219.98,2715200,2466.15
9218600,129.78,8450100,409.39,14946500,171.5,7367800,283.5,8699000,968.1,12190200,420,0,235.77,24667000,190.11,9450900,216.52,3000500,2438.4
5457500,130.23,10615500,414.63,15071500,166,4585900,280,6293600,968.1,8878100,429,0,235.77,18407000,191.68,5768900,209.59,2979000,2396.36
889600,129.78,12193600,434.3,16142800,163,9882100,270,4796500,950.34,10189400,432,0,229.37,29074800,194.82,2238700,208.94,3528700,2438.4
1423400,131.13,7455200,434.3,19249800,166.75,3962000,275.75,3969100,940.57,10167200,432,0,229.37,36115400,195.26,4472000,207.86,1541300,2433.35
